Game ID,Player Name,Game Date,Season,Team,Opponent Type,Opponent Team,Minutes Played,Points,Rebounds,Assists,Steals,Blocks,FG Made,FG Attempted,FG %,3P Made,3P Attempted,3P %,FT Made,FT Attempted,FT %,TS%,OREB,DREB,TOV,PF,+/-
1,Shai Gilgeous-Alexander,1/12/2025,2024-25,OKCOKC,Away,WASWAS,12,12,2,1,1,0,3,6,50.0,1,1,100.0,5,5,100.0,73.2,1,1,0,1,+12
2,Shai Gilgeous-Alexander,1/10/2025,2024-25,OKCOKC,Away,NYKNYK,12,13,3,0,0,0,5,8,62.5,0,0,0,3,3,100.0,69.7,0,3,0,0,+14
3,Shai Gilgeous-Alexander,1/8/2025,2024-25,OKCOKC,Away,CLECLE,12,8,2,2,1,0,3,10,30.0,0,3,0.0,2,2,100.0,36.8,0,2,0,1,+7
4,Shai Gilgeous-Alexander,1/5/2025,2024-25,OKCOKC,Home,BOSBOS,12,11,3,2,0,0,3,6,50.0,0,1,0.0,5,5,100.0,67.1,0,3,0,2,-3
5,Shai Gilgeous-Alexander,1/3/2025,2024-25,OKCOKC,Home,NYKNYK,12,14,0,1,0,0,5,6,83.3,1,1,100.0,3,3,100.0,95.6,0,0,1,1,+3
6,Shai Gilgeous-Alexander,1/2/2025,2024-25,OKCOKC,Home,LACLAC,12,7,1,5,0,0,2,5,40.0,0,0,0,3,3,100.0,55.4,0,1,1,0,-8
7,Shai Gilgeous-Alexander,12/31/2024,2024-25,OKCOKC,Home,MINMIN,9,10,3,1,0,0,4,6,66.7,0,0,0,2,2,100.0,72.7,1,2,1,0,-3
8,Shai Gilgeous-Alexander,12/29/2024,2024-25,OKCOKC,Home,MEMMEM,9,11,1,4,0,0,4,4,100.0,1,1,100.0,2,2,100.0,112.7,0,1,0,0,+9
9,Shai Gilgeous-Alexander,12/28/2024,2024-25,OKCOKC,Away,CHACHA,11,9,0,4,0,0,4,6,66.7,1,1,100.0,0,0,0,75.0,0,0,0,1,+9
10,Shai Gilgeous-Alexander,12/26/2024,2024-25,OKCOKC,Away,INDIND,12,6,0,2,0,1,2,8,25.0,0,1,0.0,2,2,100.0,33.8,0,0,0,1,-10
11,Shai Gilgeous-Alexander,12/23/2024,2024-25,OKCOKC,Home,WASWAS,8,2,1,1,0,2,1,3,33.3,0,0,0,0,0,0,33.3,1,0,2,0,-4
12,Shai Gilgeous-Alexander,12/20/2024,2024-25,OKCOKC,Away,MIAMIA,12,10,3,1,0,0,4,6,66.7,1,2,50.0,1,1,100.0,77.6,1,2,2,0,+5
13,Shai Gilgeous-Alexander,12/19/2024,2024-25,OKCOKC,Away,ORLORL,12,13,2,3,1,2,5,6,83.3,0,0,0,3,3,100.0,88.8,0,2,1,0,+1
14,Shai Gilgeous-Alexander,12/14/2024,2024-25,OKCOKC,Home,HOUHOU,12,4,3,1,4,0,1,8,12.5,0,4,0.0,2,2,100.0,22.5,0,3,1,1,-2
15,Shai Gilgeous-Alexander,12/10/2024,2024-25,OKCOKC,Home,DALDAL,12,16,3,1,0,0,5,9,55.6,2,4,50.0,4,4,100.0,74.3,0,3,0,2,+8
16,Shai Gilgeous-Alexander,12/7/2024,2024-25,OKCOKC,Away,NOPNOP,12,16,0,4,0,0,7,7,100.0,1,1,100.0,1,2,50.0,101.5,0,0,1,0,+12
17,Shai Gilgeous-Alexander,12/5/2024,2024-25,OKCOKC,Away,TORTOR,12,13,2,2,0,2,5,12,41.7,0,6,0.0,3,3,100.0,48.8,0,2,1,0,+17
18,Shai Gilgeous-Alexander,12/3/2024,2024-25,OKCOKC,Home,UTAUTA,12,6,3,4,2,0,3,9,33.3,0,3,0.0,0,0,0,33.3,1,2,0,2,+7
19,Shai Gilgeous-Alexander,12/1/2024,2024-25,OKCOKC,Away,HOUHOU,12,6,3,1,0,0,2,7,28.6,1,4,25.0,1,2,50.0,38.1,1,2,1,0,-5
20,Shai Gilgeous-Alexander,11/29/2024,2024-25,OKCOKC,Away,LALLAL,8,6,0,2,0,0,3,7,42.9,0,2,0.0,0,0,0,42.9,0,0,0,0,+9
21,Shai Gilgeous-Alexander,11/27/2024,2024-25,OKCOKC,Away,GSWGSW,12,12,4,1,1,0,6,8,75.0,0,2,0.0,0,0,0,75.0,0,4,1,1,+16
22,Shai Gilgeous-Alexander,11/25/2024,2024-25,OKCOKC,Away,SACSAC,11,12,2,4,0,0,5,7,71.4,2,3,66.7,0,0,0,85.7,0,2,2,1,+4
23,Shai Gilgeous-Alexander,11/20/2024,2024-25,OKCOKC,Home,PORPOR,12,4,2,1,0,0,1,6,16.7,0,0,0,2,2,100.0,29.1,0,2,1,0,-2
24,Shai Gilgeous-Alexander,11/19/2024,2024-25,OKCOKC,Away,SASSAS,8,7,0,1,1,0,3,3,100.0,1,1,100.0,0,0,0,116.7,0,0,2,1,+8
25,Shai Gilgeous-Alexander,11/17/2024,2024-25,OKCOKC,Home,DALDAL,12,13,1,1,0,1,6,7,85.7,0,0,0,1,2,50.0,82.5,0,1,0,0,-5
